Time [yyyy-MM-dd HH:mm:ss];903.00_IJ.DOESBURG;922.00_IJ.BRUMMEN;932.00_IJ.ZUPTHEN;940.00_IJ.GORSSEL;947.00_IJ.DEVENTER
29-12-99 00:00;610.22;644.23;792.9;808.78;860.96
29-12-99 01:00;569.93;541.04;641.76;721.76;866.95
29-12-99 02:00;541.24;565.72;631.4;705.44;776.67
29-12-99 03:00;528.47;573.71;638.8;685.36;738.57
29-12-99 04:00;517.42;571.37;643.18;676;718.48
29-12-99 05:00;509.66;566.71;645;671.11;707.32
29-12-99 06:00;504.99;561.65;645.19;667.83;700.52
29-12-99 07:00;502.85;556.91;642.69;664.97;695.8
29-12-99 08:00;502.54;552.83;639.24;661.85;691.94
29-12-99 09:00;503.49;549.56;635.54;658.64;688.39
29-12-99 10:00;505.18;546.92;631.57;654.89;685
29-12-99 11:00;507.3;544.82;627.26;650.75;681.46
29-12-99 12:00;509.68;543.07;623.26;646.75;677.76
29-12-99 13:00;512.16;541.54;619.67;642.94;674.08
29-12-99 14:00;514.65;540.46;616.44;639.33;670.36
29-12-99 15:00;517.12;539.76;613.56;635.94;666.87
29-12-99 16:00;519.52;539.39;611.01;632.82;663.53
29-12-99 17:00;521.83;539.28;608.77;629.9;660.35
29-12-99 18:00;524.06;539.39;606.8;627.16;657.33
29-12-99 19:00;526.18;539.68;605.07;624.64;654.49
29-12-99 20:00;528.2;540.1;603.56;622.34;651.82
29-12-99 21:00;530.12;540.64;602.25;620.25;649.32
29-12-99 22:00;531.94;541.26;601.15;618.34;646.95
29-12-99 23:00;533.66;541.95;600.22;616.61;644.73
30-12-99 00:00;535.29;542.68;599.44;615.05;642.73
30-12-99 01:00;536.83;543.45;598.78;613.67;640.9
30-12-99 02:00;538.28;544.24;598.25;612.45;639.08
30-12-99 03:00;539.69;545.08;597.82;611.34;637.44
30-12-99 04:00;541.02;545.94;597.48;610.36;635.98
30-12-99 05:00;542.27;546.79;597.22;609.52;634.59
30-12-99 06:00;543.45;547.63;597.04;608.77;633.3
30-12-99 07:00;544.56;548.44;596.92;608.12;632.17
30-12-99 08:00;545.6;549.24;596.85;607.57;631.16
30-12-99 09:00;546.58;550.02;596.83;607.11;630.27
30-12-99 10:00;547.5;550.77;596.85;606.72;629.46
30-12-99 11:00;548.37;551.49;596.91;606.39;628.61
30-12-99 12:00;549.18;552.19;596.99;606.09;627.77
30-12-99 13:00;549.94;552.86;597.08;605.81;627.01
30-12-99 14:00;550.66;553.51;597.18;605.57;626.33
30-12-99 15:00;551.33;554.12;597.29;605.37;625.71
30-12-99 16:00;551.96;554.71;597.4;605.12;625.13
30-12-99 17:00;552.55;555.27;597.5;604.93;624.59
30-12-99 18:00;553.11;555.8;597.61;604.78;624.09
30-12-99 19:00;553.62;556.3;597.72;604.66;623.64
30-12-99 20:00;554.11;556.78;597.84;604.56;623.24
30-12-99 21:00;554.57;557.23;597.97;604.49;622.87
30-12-99 22:00;555;557.66;598.1;604.43;622.55
30-12-99 23:00;555.4;558.07;598.24;604.39;622.25
31-12-99 00:00;555.77;558.46;598.38;604.37;621.98
31-12-99 01:00;556.12;558.82;598.51;604.36;621.72
31-12-99 02:00;556.45;559.17;598.64;604.35;621.48
31-12-99 03:00;556.76;559.5;598.77;604.35;621.26
31-12-99 04:00;557.05;559.81;598.9;604.36;621.05
31-12-99 05:00;557.32;560.1;599.02;604.36;620.85
31-12-99 06:00;557.57;560.38;599.14;604.38;620.67
31-12-99 07:00;557.81;560.64;599.25;604.39;620.51
31-12-99 08:00;558.03;560.89;599.36;604.41;620.35
31-12-99 09:00;558.24;561.12;599.46;604.42;620.2
31-12-99 10:00;558.44;561.34;599.57;604.44;620.06
31-12-99 11:00;558.62;561.54;599.66;604.46;619.92
31-12-99 12:00;558.79;561.74;599.75;604.47;619.8
31-12-99 13:00;558.96;561.92;599.84;604.49;619.68
31-12-99 14:00;559.11;562.09;599.92;604.51;619.56
31-12-99 15:00;559.25;562.26;599.99;604.52;619.46
31-12-99 16:00;559.38;562.41;600.07;604.53;619.35
31-12-99 17:00;559.51;562.55;600.13;604.55;619.25
31-12-99 18:00;559.62;562.69;600.19;604.56;619.16
31-12-99 19:00;559.73;562.81;600.25;604.57;619.06
31-12-99 20:00;559.84;562.93;600.31;604.57;618.98
31-12-99 21:00;559.93;563.04;600.36;604.58;618.89
31-12-99 22:00;560.02;563.15;600.4;604.58;618.81
31-12-99 23:00;560.11;563.25;600.45;604.59;618.73
01-01-00 00:00;560.19;563.34;600.49;604.59;618.65
01-01-00 01:00;560.26;563.42;600.52;604.59;618.58
01-01-00 02:00;560.33;563.5;600.55;604.59;618.5
01-01-00 03:00;560.4;563.58;600.58;604.59;618.43
01-01-00 04:00;560.45;563.65;600.61;604.58;618.37
01-01-00 05:00;560.5;563.71;600.64;604.58;618.3
01-01-00 06:00;560.54;563.77;600.66;604.57;618.23
01-01-00 07:00;560.57;563.82;600.67;604.56;618.17
01-01-00 08:00;560.6;563.87;600.69;604.55;618.11
01-01-00 09:00;560.62;563.91;600.7;604.54;618.05
01-01-00 10:00;560.63;563.94;600.71;604.53;617.99
01-01-00 11:00;560.64;563.97;600.72;604.51;617.93
01-01-00 12:00;560.64;564;600.72;604.5;617.88
01-01-00 13:00;560.64;564.02;600.72;604.48;617.83
01-01-00 14:00;560.64;564.03;600.72;604.47;617.78
01-01-00 15:00;560.63;564.05;600.72;604.45;617.74
01-01-00 16:00;560.61;564.06;600.72;604.43;617.7
01-01-00 17:00;560.59;564.06;600.71;604.41;617.66
01-01-00 18:00;560.57;564.06;600.7;604.39;617.62
01-01-00 19:00;560.55;564.06;600.7;604.37;617.58
01-01-00 20:00;560.52;564.05;600.69;604.35;617.55
01-01-00 21:00;560.49;564.05;600.68;604.33;617.51
01-01-00 22:00;560.46;564.03;600.66;604.3;617.48
01-01-00 23:00;560.42;564.02;600.65;604.28;617.45
02-01-00 00:00;560.39;564;600.63;604.26;617.42
02-01-00 01:00;560.35;563.98;600.62;604.23;617.39
02-01-00 02:00;560.31;563.96;600.6;604.21;617.36
02-01-00 03:00;560.26;563.94;600.58;604.18;617.33
02-01-00 04:00;560.2;563.91;600.56;604.16;617.3
02-01-00 05:00;560.13;563.88;600.54;604.13;617.27
02-01-00 06:00;560.05;563.84;600.51;604.1;617.24
02-01-00 07:00;559.96;563.8;600.49;604.07;617.21
02-01-00 08:00;559.86;563.76;600.46;604.04;617.18
02-01-00 09:00;559.75;563.7;600.43;604.01;617.15
02-01-00 10:00;559.63;563.64;600.39;603.97;617.12
02-01-00 11:00;559.51;563.58;600.35;603.94;617.09
02-01-00 12:00;559.38;563.5;600.31;603.9;617.06
02-01-00 13:00;559.26;563.4;600.26;603.83;617.07
02-01-00 14:00;559.14;563.3;600.19;603.77;617.09
02-01-00 15:00;559.01;563.2;600.12;603.71;617.14
02-01-00 16:00;558.87;563.1;600.06;603.66;617.19
02-01-00 17:00;558.72;563;600;603.61;617.25
02-01-00 18:00;558.88;562.9;599.94;603.56;617.31
02-01-00 19:00;559.17;562.85;599.89;603.52;617.38
02-01-00 20:00;559.47;562.84;599.85;603.49;617.46
02-01-00 21:00;559.76;562.87;599.83;603.46;617.54
02-01-00 22:00;560.05;562.94;599.82;603.45;617.64
02-01-00 23:00;560.33;563.03;599.84;603.46;617.74
03-01-00 00:00;560.62;563.15;599.87;603.48;617.86
03-01-00 01:00;560.9;563.29;599.93;603.52;617.99
03-01-00 02:00;561.2;563.44;600;603.58;618.13
03-01-00 03:00;561.53;563.61;600.1;603.66;618.29
03-01-00 04:00;561.9;563.8;600.21;603.76;618.47
03-01-00 05:00;562.33;564.01;600.34;603.87;618.66
03-01-00 06:00;562.81;564.25;600.49;604;618.86
03-01-00 07:00;563.33;564.52;600.66;604.14;619.09
03-01-00 08:00;563.91;564.82;600.85;604.31;619.33
03-01-00 09:00;564.52;565.15;601.06;604.5;619.58
03-01-00 10:00;565.17;565.52;601.3;604.7;619.86
03-01-00 11:00;565.86;565.91;601.56;604.93;620.15
03-01-00 12:00;566.58;566.35;601.84;605.18;620.46
03-01-00 13:00;567.36;566.79;602.14;605.42;620.84
03-01-00 14:00;568.16;567.25;602.53;605.71;621.29
03-01-00 15:00;568.98;567.7;603.09;606.1;621.78
03-01-00 16:00;569.82;568.15;603.8;606.61;622.35
03-01-00 17:00;570.67;568.61;604.6;607.22;623
03-01-00 18:00;571.53;569.09;605.48;607.92;623.73
03-01-00 19:00;572.4;569.59;606.43;608.69;624.54
03-01-00 20:00;573.29;570.11;607.43;609.53;625.42
03-01-00 21:00;574.18;570.65;608.49;610.44;626.37
03-01-00 22:00;575.08;571.22;609.6;611.4;627.39
03-01-00 23:00;575.99;571.81;610.75;612.42;628.47
04-01-00 00:00;576.8;572.41;611.95;613.48;629.6
04-01-00 01:00;577.6;573.03;613.19;614.59;630.79
04-01-00 02:00;578.41;573.65;614.47;615.73;632.03
04-01-00 03:00;579.21;574.28;615.79;616.9;633.32
04-01-00 04:00;580.03;574.92;617.14;618.11;634.65
04-01-00 05:00;580.83;575.57;618.52;619.36;636.02
04-01-00 06:00;581.64;576.23;619.92;620.63;637.43
04-01-00 07:00;582.44;576.9;621.35;621.93;638.88
04-01-00 08:00;583.24;577.58;622.8;623.26;640.37
04-01-00 09:00;584.09;578.26;624.27;624.61;641.89
04-01-00 10:00;584.95;578.96;625.77;625.99;643.45
04-01-00 11:00;585.8;579.68;627.29;627.4;645.04
04-01-00 12:00;586.66;580.4;628.83;628.75;646.65
04-01-00 13:00;587.52;581.21;630.4;630.14;648.28
04-01-00 14:00;588.38;582.02;631.99;631.56;649.94
04-01-00 15:00;589.25;582.84;633.59;633.01;651.64
04-01-00 16:00;590.13;583.65;635.22;634.48;653.37
04-01-00 17:00;591.08;584.47;636.89;635.98;655.12
04-01-00 18:00;592.05;585.29;638.62;637.5;656.89
04-01-00 19:00;593.02;586.12;640.39;639.06;658.69
04-01-00 20:00;593.99;586.95;642.19;640.66;660.53
04-01-00 21:00;594.96;587.82;643.94;642.28;662.4
04-01-00 22:00;595.93;588.72;645.64;643.88;664.31
04-01-00 23:00;596.9;589.65;647.32;645.48;666.22
05-01-00 00:00;597.88;590.64;649;647.07;668.14
05-01-00 01:00;598.85;591.65;650.67;648.65;670.06
05-01-00 02:00;599.83;592.67;652.34;650.23;671.98
05-01-00 03:00;600.81;593.69;654.01;651.81;673.91
05-01-00 04:00;601.76;594.72;655.71;653.4;675.81
05-01-00 05:00;602.76;595.74;657.43;655;677.65
05-01-00 06:00;603.75;596.76;659.16;656.6;679.53
05-01-00 07:00;604.72;597.78;660.9;658.21;681.43
05-01-00 08:00;605.67;598.8;662.65;659.86;683.36
05-01-00 09:00;606.61;599.82;664.41;661.54;685.3
05-01-00 10:00;607.39;600.83;666.21;663.23;687.25
05-01-00 11:00;608.12;601.81;668.02;664.91;689.18
05-01-00 12:00;608.83;602.75;669.84;666.6;691.12
05-01-00 13:00;609.53;603.69;671.67;668.28;693.08
05-01-00 14:00;610.23;604.61;673.5;669.97;695.06
05-01-00 15:00;610.91;605.5;675.37;671.68;696.97
05-01-00 16:00;611.58;606.38;677.37;673.47;698.78
05-01-00 17:00;612.25;607.24;679.29;675.24;700.76
05-01-00 18:00;612.9;608.1;681.18;677.17;702.83
05-01-00 19:00;613.54;608.93;683.07;679.05;704.97
05-01-00 20:00;614.17;609.77;684.93;680.91;707.14
05-01-00 21:00;614.79;610.61;686.78;682.76;709.31
05-01-00 22:00;615.41;611.44;688.61;684.6;711.5
05-01-00 23:00;616.02;612.28;690.36;686.43;713.68
06-01-00 00:00;616.62;613.08;691.17;688.03;715.83
06-01-00 01:00;617.23;613.84;692.32;689.27;717.84
06-01-00 02:00;617.83;614.53;693.47;690.2;719.62
06-01-00 03:00;618.46;615.15;694.74;691.41;721.28
06-01-00 04:00;619.19;615.79;696.17;692.78;722.97
06-01-00 05:00;620.03;616.47;697.71;694.27;724.74
06-01-00 06:00;621.01;617.2;699.31;695.83;726.58
06-01-00 07:00;622.1;618;700.96;697.46;728.49
06-01-00 08:00;623.29;618.87;702.66;699.14;730.46
06-01-00 09:00;624.58;619.82;704.41;700.88;732.48
06-01-00 10:00;625.96;620.84;706.2;702.67;734.55
06-01-00 11:00;627.41;621.94;708.05;704.53;736.67
06-01-00 12:00;628.94;623.11;709.99;706.45;738.85
06-01-00 13:00;630.52;624.33;712;708.46;741
06-01-00 14:00;632.25;625.62;714.07;710.51;743.17
06-01-00 15:00;634.05;627;716.21;712.61;745.4
06-01-00 16:00;635.89;628.45;718.4;714.77;747.69
06-01-00 17:00;637.79;629.97;720.65;716.98;750.03
06-01-00 18:00;639.74;631.57;722.95;719.25;752.43
06-01-00 19:00;641.67;633.23;725.31;721.57;754.89
06-01-00 20:00;643.62;634.94;727.71;723.92;757.35
06-01-00 21:00;645.61;636.7;730.16;726.31;759.84
06-01-00 22:00;647.63;638.51;732.65;728.75;762.39
06-01-00 23:00;649.7;640.37;735.19;731.24;765.01
07-01-00 00:00;651.79;642.25;737.93;733.81;767.68
07-01-00 01:00;653.97;644.11;741.07;736.57;770.47
07-01-00 02:00;656.21;645.96;744.53;739.64;773.51
07-01-00 03:00;658.55;647.81;748.24;742.98;776.81
07-01-00 04:00;661.01;649.68;752.15;746.58;780.41
07-01-00 05:00;663.4;651.61;756.26;750.42;784.3
07-01-00 06:00;665.88;653.58;760.55;754.5;788.47
07-01-00 07:00;668.49;655.64;764.79;758.74;792.89
07-01-00 08:00;671.23;657.83;768.89;763;797.51
07-01-00 09:00;674.09;660.14;772.96;767.26;802.24
07-01-00 10:00;677.17;662.57;777.05;771.53;807.04
07-01-00 11:00;680.38;665.14;781.19;775.76;811.72
07-01-00 12:00;683.52;667.82;785.36;780.05;816.52
07-01-00 13:00;686.49;670.54;789.38;784.51;821.27
07-01-00 14:00;689.49;673.34;793.2;788.85;825.95
07-01-00 15:00;692.58;676.31;796.7;792.94;830.51
07-01-00 16:00;695.51;679.51;799.87;796.75;834.86
07-01-00 17:00;698.51;682.84;802.86;800.37;838.97
07-01-00 18:00;701.66;686.33;805.74;803.79;842.8
07-01-00 19:00;704.9;689.83;808.53;807.06;846.46
07-01-00 20:00;708.18;693.34;811.23;810.21;849.95
07-01-00 21:00;711.51;696.9;813.66;813.2;853.27
07-01-00 22:00;714.87;700.52;815.75;815.89;856.38
07-01-00 23:00;718.16;704.11;817.59;818.31;859.22
08-01-00 00:00;721.47;707.67;819.22;820.48;861.79
08-01-00 01:00;724.74;711.25;820.73;822.43;864.02
08-01-00 02:00;727.99;714.83;822.14;824.22;866.03
08-01-00 03:00;731.25;718.39;823.58;825.9;867.89
08-01-00 04:00;734.52;721.89;825.3;827.63;869.64
08-01-00 05:00;737.86;725.31;827.33;829.55;871.4
08-01-00 06:00;741.25;728.68;829.51;831.63;873.25
08-01-00 07:00;744.67;732.04;831.79;833.83;875.22
08-01-00 08:00;748.12;735.39;834.12;836.12;877.29
08-01-00 09:00;751.75;738.76;836.5;838.48;879.43
08-01-00 10:00;755.44;742.15;838.93;840.89;881.64
08-01-00 11:00;759.17;745.57;841.4;843.35;883.89
08-01-00 12:00;762.96;748.97;843.92;845.86;886.19
08-01-00 13:00;766.75;752.37;846.48;848.42;888.52
08-01-00 14:00;770.55;755.78;849.07;851.02;890.87
08-01-00 15:00;774.41;759.19;851.69;853.64;893.25
08-01-00 16:00;778.26;762.58;854.34;856.3;895.66
08-01-00 17:00;782.11;765.95;857;858.98;898.1
08-01-00 18:00;785.96;769.31;859.68;861.68;900.56
08-01-00 19:00;789.81;772.66;862.38;864.39;903.03
08-01-00 20:00;793.64;776.02;865.08;867.12;905.51
08-01-00 21:00;797.47;779.36;867.78;869.86;908.01
08-01-00 22:00;801.29;782.71;870.5;872.59;910.51
08-01-00 23:00;805.09;786.05;873.21;875.33;913.01
09-01-00 00:00;808.88;789.39;875.92;878.06;915.51
09-01-00 01:00;812.67;792.74;878.64;880.79;918.01
09-01-00 02:00;816.43;796.07;881.35;883.53;920.51
09-01-00 03:00;820.32;799.35;884.07;886.26;923
09-01-00 04:00;824.35;802.68;886.79;889;925.5
09-01-00 05:00;828.47;806.06;889.52;891.74;927.99
09-01-00 06:00;832.67;809.48;892.26;894.48;930.48
09-01-00 07:00;836.96;812.95;895.01;897.23;932.98
09-01-00 08:00;841.34;816.46;897.77;900;935.48
09-01-00 09:00;845.78;819.99;900.56;902.78;938
09-01-00 10:00;850.26;823.5;903.37;905.57;940.53
09-01-00 11:00;854.8;827.06;906.19;908.39;943.08
09-01-00 12:00;859.39;830.67;909.03;911.22;945.65
09-01-00 13:00;864.03;834.34;911.9;914.07;948.25
09-01-00 14:00;868.72;838.06;914.8;916.94;950.88
09-01-00 15:00;873.43;841.82;917.74;919.84;953.53
09-01-00 16:00;878.12;845.62;920.79;922.81;956.23
09-01-00 17:00;882.81;849.46;923.87;925.84;958.97
09-01-00 18:00;887.52;853.33;926.97;928.9;961.76
09-01-00 19:00;892.22;857.18;930.09;931.98;964.59
09-01-00 20:00;896.75;860.47;933.23;935.1;967.45
09-01-00 21:00;901.22;863.76;936.35;938.22;970.33
09-01-00 22:00;905.64;867.21;939.43;941.32;973.22
09-01-00 23:00;910.1;870.81;942.5;944.41;976.09
10-01-00 00:00;914.59;874.53;945.58;947.5;978.96
10-01-00 01:00;919.08;878.36;948.69;950.59;981.83
10-01-00 02:00;923.59;882.3;951.82;953.71;984.71
10-01-00 03:00;928.17;886.37;955.01;956.86;987.6
10-01-00 04:00;932.88;890.55;958.27;960.06;990.53
10-01-00 05:00;937.8;894.85;961.61;963.32;993.5
10-01-00 06:00;942.89;899.27;965.07;966.67;996.54
10-01-00 07:00;948.18;903.98;968.85;970.5;1000.4
10-01-00 08:00;952.06;908.6;972.67;974.36;1003.8
10-01-00 09:00;956.02;913.22;976.48;977.89;1006.9
10-01-00 10:00;960.07;917.83;980.33;981.58;1010.2
10-01-00 11:00;964.22;922.44;984.24;985.37;1013.6
10-01-00 12:00;968.23;927.05;988.22;989.25;1017.2
10-01-00 13:00;972.24;931.66;992.24;993.19;1020.8
10-01-00 14:00;976.39;936.26;996.31;997.19;1024.6
10-01-00 15:00;980.63;940.87;1000.4;1001.2;1028.3
10-01-00 16:00;984.95;945.49;1004.6;1005.3;1032.2
10-01-00 17:00;989.46;950.09;1008.7;1009.5;1036.1
10-01-00 18:00;994.1;954.68;1012.9;1013.6;1040
10-01-00 19:00;998.86;959.28;1017.1;1017.8;1043.9
10-01-00 20:00;1003.7;963.89;1021.3;1022;1047.9
10-01-00 21:00;1008.7;968.53;1025.5;1026.2;1051.8
10-01-00 22:00;1013.8;973.2;1029.8;1030.4;1055.8
10-01-00 23:00;1019;977.91;1034;1034.6;1059.8
11-01-00 00:00;1023.7;982.64;1038.2;1038.8;1063.8
11-01-00 01:00;1028.9;987.38;1042.5;1043.1;1067.8
11-01-00 02:00;1034;992.16;1046.8;1047.3;1071.8
11-01-00 03:00;1038.9;996.96;1051.1;1051.6;1075.8
11-01-00 04:00;1044.5;1001.6;1055.5;1056;1079.9
11-01-00 05:00;1050.3;1006.1;1059.9;1060.3;1084
11-01-00 06:00;1056.5;1010.7;1064.2;1064.6;1088.1
11-01-00 07:00;1062.9;1015.5;1068.5;1068.9;1092.2
11-01-00 08:00;1069.6;1020.5;1072.8;1073.2;1096.2
11-01-00 09:00;1076.5;1025.6;1077.2;1077.5;1100.3
11-01-00 10:00;1083.6;1031;1081.6;1081.9;1104.4
11-01-00 11:00;1091.1;1037.1;1086.1;1086.3;1108.6
11-01-00 12:00;1099;1043.8;1090.9;1090.9;1112.8
11-01-00 13:00;1106.9;1051.2;1096;1095.7;1117.1
11-01-00 14:00;1114.4;1059.2;1101.5;1100.7;1121.7
11-01-00 15:00;1122.1;1067.6;1107.4;1106.2;1126.6
11-01-00 16:00;1128.7;1076.2;1113.8;1112;1131.8
11-01-00 17:00;1136.2;1084.9;1120.7;1118.3;1137.4
11-01-00 18:00;1145.3;1093.4;1127.4;1124.3;1142.4
11-01-00 19:00;1156.6;1102.6;1134.4;1130.6;1148.1
11-01-00 20:00;1167.1;1112.5;1142.1;1138;1155
11-01-00 21:00;1177.5;1122.9;1150.3;1145.7;1162.1
11-01-00 22:00;1188;1133.5;1159;1153.9;1169.4
11-01-00 23:00;1198.5;1144.4;1168;1162.5;1177.2
12-01-00 00:00;1209.1;1155.5;1177.6;1171.5;1185.4
12-01-00 01:00;1219.8;1166.8;1187.5;1180.9;1194.1
12-01-00 02:00;1230.5;1178.3;1197.6;1190.6;1203.1
12-01-00 03:00;1238.9;1190.7;1209;1202.2;1214.6
12-01-00 04:00;1248.2;1201.6;1219.9;1212.4;1223.7
12-01-00 05:00;1259.4;1212.4;1230.4;1222.5;1233.2
12-01-00 06:00;1270.4;1223.3;1240.8;1232.7;1242.8
12-01-00 07:00;1281.8;1233.5;1250.2;1241.3;1250.4
12-01-00 08:00;1293.8;1245;1260.5;1251.6;1260.4
12-01-00 09:00;1304.7;1256.7;1271.2;1262.2;1270.6
12-01-00 10:00;1315.2;1268.4;1282.1;1272.7;1280.5
12-01-00 11:00;1325.5;1279.9;1293.1;1283.4;1290.6
12-01-00 12:00;1335.4;1291.2;1304.1;1294.2;1300.9
12-01-00 13:00;1345.1;1302.3;1315.1;1305;1311.2
12-01-00 14:00;1354.9;1313.2;1326;1315.8;1321.5
12-01-00 15:00;1365;1324;1336.7;1326.4;1331.7
12-01-00 16:00;1375.3;1334.7;1347.3;1337;1342
12-01-00 17:00;1385.9;1345.4;1357.9;1347.6;1352.2
12-01-00 18:00;1397;1356.2;1368.4;1358.2;1362.4
12-01-00 19:00;1408.7;1367.1;1378.9;1368.7;1372.7
12-01-00 20:00;1421.1;1378.3;1389;1379.1;1382.9
12-01-00 21:00;1433.9;1389.8;1399;1389.3;1392.9
12-01-00 22:00;1447.5;1401.6;1409.4;1399.5;1402.8
12-01-00 23:00;1461.6;1414;1420.1;1410;1412.8
13-01-00 00:00;1476.4;1427.3;1431.6;1421;1423.1
13-01-00 01:00;1491.8;1441.5;1443.9;1432.7;1433.8
13-01-00 02:00;1507.7;1456.4;1456.5;1444.8;1445.1
13-01-00 03:00;1524;1472;1469.5;1457.3;1456.7
13-01-00 04:00;1540.7;1487.8;1482.9;1470.2;1468.6
13-01-00 05:00;1557.8;1504.1;1496.7;1483.5;1481
13-01-00 06:00;1575.5;1520.6;1510.9;1497.2;1493.6
13-01-00 07:00;1593.7;1537.6;1525.4;1511.3;1506.6
13-01-00 08:00;1612.5;1555.1;1540.4;1525.8;1519.9
13-01-00 09:00;1631.8;1573.3;1555.8;1540.7;1533.8
13-01-00 10:00;1651.2;1592;1571.8;1556.3;1548.4
13-01-00 11:00;1671;1611.1;1588.5;1572.6;1563.6
13-01-00 12:00;1691.4;1630.8;1605.7;1589.3;1579.2
13-01-00 13:00;1712.3;1650.9;1623.4;1606.6;1595.2
13-01-00 14:00;1733.8;1671.8;1642;1624.5;1611.8
13-01-00 15:00;1757.2;1693;1661.3;1643.2;1629
13-01-00 16:00;1782.9;1715.1;1681.4;1662.7;1647.1
13-01-00 17:00;1810.2;1738.5;1702.2;1683;1666
13-01-00 18:00;1841.7;1763.2;1724.1;1704.3;1685.8
13-01-00 19:00;1862.2;1793.5;1752.2;1730.6;1707
13-01-00 20:00;1889.9;1816.7;1774.7;1752.8;1729.1
13-01-00 21:00;1926;1841.9;1798;1776.1;1751.3
13-01-00 22:00;1962.9;1870.9;1821.8;1799.9;1773.6
13-01-00 23:00;1998.9;1902.3;1843.7;1820.1;1794.9
14-01-00 00:00;2033.9;1934.3;1866.4;1840.3;1813.5
14-01-00 01:00;2068;1966.2;1891.5;1863.4;1833.7
14-01-00 02:00;2102.1;1998;1918.2;1888.6;1855.4
14-01-00 03:00;2137.7;2029.8;1946;1914.9;1878.4
14-01-00 04:00;2173.6;2061.8;1975.4;1942.3;1902.2
14-01-00 05:00;2207.5;2093.6;2004.7;1970.5;1926.9
14-01-00 06:00;2239.3;2124.8;2033.7;1998.3;1952.2
14-01-00 07:00;2269.2;2155.9;2063.2;2026.4;1978.3
14-01-00 08:00;2297.3;2186.4;2093.8;2056;2006.2
14-01-00 09:00;2324.4;2215.4;2124.3;2086.4;2035
14-01-00 10:00;2352.5;2243.4;2154.6;2116.7;2063
