Time [yyyy-MM-dd HH:mm:ss];903.00_IJ: Water level at (IJssel03_A_ 919)_ Flow1D [m AD];922.00_IJ: Water level at (IJssel03_B_B_A_ 0)_ Flow1D [m AD];932.00_IJ: Water level at (IJssel04_B_ 0)_ Flow1D [m AD];940.00_IJ: Water level at (IJssel05_B_ 0)_ Flow1D [m AD];947.00_IJ: Water level at (IJssel06_B_B_B_A_ 0)_ Flow1D [m AD]
20-01-00 01:00;10.596;9.0488;8.1075;7.3163;6.6194
20-01-00 02:00;10.593;9.0401;8.0981;7.3029;6.6075
20-01-00 03:00;10.589;9.0314;8.089;7.2895;6.5949
20-01-00 04:00;10.586;9.0228;8.0801;7.2761;6.582
20-01-00 05:00;10.582;9.0144;8.0712;7.2631;6.5689
20-01-00 06:00;10.579;9.006;8.0622;7.2503;6.5558
20-01-00 07:00;10.575;8.9977;8.0532;7.2376;6.5429
20-01-00 08:00;10.572;8.9894;8.0442;7.2249;6.5299
20-01-00 09:00;10.568;8.9813;8.0352;7.2122;6.517
20-01-00 10:00;10.565;8.9732;8.0261;7.1996;6.5041
20-01-00 11:00;10.561;8.9653;8.017;7.1871;6.4913
20-01-00 12:00;10.558;8.9574;8.0079;7.1746;6.4786
20-01-00 13:00;10.554;8.9497;7.9988;7.1621;6.466
20-01-00 14:00;10.551;8.9422;7.9896;7.1499;6.4534
20-01-00 15:00;10.548;8.9348;7.9805;7.1377;6.441
20-01-00 16:00;10.545;8.9276;7.9714;7.1256;6.4286
20-01-00 17:00;10.542;8.9207;7.9624;7.1138;6.4164
20-01-00 18:00;10.538;8.9138;7.9534;7.1021;6.4043
20-01-00 19:00;10.535;8.9072;7.9446;7.0907;6.3924
20-01-00 20:00;10.532;8.9007;7.9358;7.0796;6.3806
20-01-00 21:00;10.53;8.8943;7.9271;7.0687;6.369
20-01-00 22:00;10.527;8.888;7.9185;7.058;6.3575
20-01-00 23:00;10.524;8.8818;7.91;7.0476;6.3462
21-01-00 00:00;10.521;8.8756;7.9016;7.0375;6.335
21-01-00 01:00;10.519;8.8695;7.8933;7.0276;6.3241
21-01-00 02:00;10.516;8.8636;7.8851;7.0179;6.3132
21-01-00 03:00;10.513;8.8578;7.8769;7.0085;6.3026
21-01-00 04:00;10.511;8.8521;7.8688;6.9992;6.2922
21-01-00 05:00;10.509;8.8466;7.8609;6.9902;6.2819
21-01-00 06:00;10.506;8.8411;7.853;6.9813;6.2718
21-01-00 07:00;10.504;8.8358;7.8452;6.9726;6.2618
21-01-00 08:00;10.501;8.8307;7.8375;6.9641;6.2521
21-01-00 09:00;10.499;8.8257;7.83;6.9557;6.2424
21-01-00 10:00;10.497;8.8209;7.8226;6.9476;6.2329
21-01-00 11:00;10.494;8.8163;7.8154;6.9396;6.2236
21-01-00 12:00;10.492;8.8117;7.8084;6.9317;6.2145
21-01-00 13:00;10.49;8.8071;7.8015;6.924;6.2054
21-01-00 14:00;10.487;8.8026;7.7946;6.9165;6.1966
21-01-00 15:00;10.485;8.7981;7.7878;6.9091;6.1878
21-01-00 16:00;10.482;8.7936;7.7811;6.9017;6.1792
21-01-00 17:00;10.479;8.7891;7.7745;6.8945;6.1706
21-01-00 18:00;10.477;8.7846;7.7678;6.8873;6.1621
21-01-00 19:00;10.474;8.7801;7.7612;6.8801;6.1537
21-01-00 20:00;10.471;8.7755;7.7545;6.873;6.1453
21-01-00 21:00;10.469;8.771;7.7478;6.8658;6.137
21-01-00 22:00;10.466;8.7663;7.7411;6.8586;6.1287
21-01-00 23:00;10.463;8.7617;7.7343;6.8514;6.1206
22-01-00 00:00;10.46;8.757;7.7275;6.8441;6.1124
22-01-00 01:00;10.457;8.7523;7.7205;6.8368;6.1043
22-01-00 02:00;10.453;8.7475;7.7134;6.8296;6.0962
22-01-00 03:00;10.45;8.7426;7.7062;6.8224;6.0882
22-01-00 04:00;10.447;8.7376;7.6988;6.8151;6.0802
22-01-00 05:00;10.443;8.7325;7.6912;6.8078;6.0723
22-01-00 06:00;10.439;8.7274;7.6836;6.8003;6.0643
22-01-00 07:00;10.436;8.7221;7.6758;6.7928;6.0563
22-01-00 08:00;10.432;8.7168;7.6678;6.7852;6.0483
22-01-00 09:00;10.428;8.7113;7.6598;6.7775;6.0403
22-01-00 10:00;10.424;8.7058;7.6516;6.7697;6.0322
22-01-00 11:00;10.42;8.7001;7.6432;6.7617;6.0242
22-01-00 12:00;10.415;8.6944;7.6347;6.7537;6.0161
22-01-00 13:00;10.411;8.6886;7.6261;6.7455;6.008
22-01-00 14:00;10.406;8.6826;7.6173;6.7373;5.9998
22-01-00 15:00;10.402;8.6766;7.6084;6.7289;5.9916
22-01-00 16:00;10.397;8.6704;7.5994;6.7204;5.9834
22-01-00 17:00;10.392;8.6642;7.5903;6.7118;5.9752
22-01-00 18:00;10.387;8.6578;7.5811;6.7031;5.9669
22-01-00 19:00;10.382;8.6513;7.5718;6.6943;5.9586
22-01-00 20:00;10.377;8.6447;7.5625;6.6852;5.9501
22-01-00 21:00;10.371;8.6381;7.5532;6.676;5.9415
22-01-00 22:00;10.366;8.6315;7.5439;6.6666;5.9329
22-01-00 23:00;10.36;8.6248;7.5345;6.6572;5.9243
23-01-00 00:00;10.355;8.618;7.525;6.6477;5.9157
23-01-00 01:00;10.349;8.6112;7.5156;6.6381;5.9072
23-01-00 02:00;10.343;8.6044;7.5061;6.6285;5.8987
23-01-00 03:00;10.337;8.5975;7.4966;6.6189;5.8902
23-01-00 04:00;10.331;8.5906;7.4871;6.6092;5.8817
23-01-00 05:00;10.326;8.5837;7.4776;6.5995;5.8734
23-01-00 06:00;10.32;8.5769;7.4681;6.5898;5.865
23-01-00 07:00;10.313;8.5701;7.4587;6.58;5.8568
23-01-00 08:00;10.307;8.5633;7.4494;6.5704;5.8486
23-01-00 09:00;10.301;8.5566;7.4401;6.5607;5.8405
23-01-00 10:00;10.295;8.5499;7.431;6.5512;5.8325
23-01-00 11:00;10.289;8.5433;7.4219;6.5417;5.8246
23-01-00 12:00;10.283;8.5368;7.4131;6.5324;5.8168
23-01-00 13:00;10.277;8.5303;7.4044;6.5232;5.8091
23-01-00 14:00;10.27;8.524;7.3959;6.5141;5.8016
23-01-00 15:00;10.264;8.5178;7.3876;6.5053;5.7942
23-01-00 16:00;10.258;8.5117;7.3795;6.4966;5.7869
23-01-00 17:00;10.251;8.5056;7.3716;6.4882;5.7797
23-01-00 18:00;10.244;8.4996;7.3638;6.4799;5.7727
23-01-00 19:00;10.237;8.4936;7.3562;6.4718;5.7658
23-01-00 20:00;10.23;8.4876;7.3487;6.4639;5.759
23-01-00 21:00;10.223;8.4817;7.3414;6.4561;5.7524
23-01-00 22:00;10.216;8.4758;7.3341;6.4485;5.7459
23-01-00 23:00;10.209;8.47;7.327;6.441;5.7395
24-01-00 00:00;10.202;8.4643;7.3201;6.4337;5.7332
24-01-00 01:00;10.194;8.4587;7.3133;6.4266;5.7269
24-01-00 02:00;10.187;8.4532;7.3067;6.4197;5.7207
24-01-00 03:00;10.179;8.4479;7.3002;6.413;5.7145
24-01-00 04:00;10.172;8.4426;7.2939;6.4064;5.7085
24-01-00 05:00;10.164;8.4375;7.2878;6.4001;5.7027
24-01-00 06:00;10.156;8.4326;7.2818;6.3939;5.697
24-01-00 07:00;10.148;8.4278;7.276;6.3878;5.6914
24-01-00 08:00;10.139;8.4231;7.2703;6.3819;5.686
24-01-00 09:00;10.131;8.4184;7.2649;6.3762;5.6808
24-01-00 10:00;10.122;8.4138;7.2595;6.3705;5.6757
24-01-00 11:00;10.113;8.4091;7.2543;6.365;5.6707
24-01-00 12:00;10.104;8.4044;7.2492;6.3596;5.6659
24-01-00 13:00;10.094;8.3998;7.2442;6.3543;5.6611
24-01-00 14:00;10.085;8.395;7.2392;6.349;5.6565
24-01-00 15:00;10.075;8.3903;7.2343;6.3439;5.6519
24-01-00 16:00;10.065;8.3854;7.2293;6.3388;5.6475
24-01-00 17:00;10.054;8.3803;7.2244;6.3338;5.6431
24-01-00 18:00;10.044;8.3751;7.2194;6.3288;5.6388
24-01-00 19:00;10.033;8.3697;7.2144;6.3238;5.6345
24-01-00 20:00;10.022;8.3641;7.2093;6.3188;5.6303
24-01-00 21:00;10.011;8.3585;7.2042;6.3138;5.6261
24-01-00 22:00;10;8.3527;7.1989;6.3087;5.6219
24-01-00 23:00;9.9888;8.3468;7.1937;6.3036;5.6178
25-01-00 00:00;9.9772;8.3408;7.1884;6.2985;5.6136
25-01-00 01:00;9.9654;8.3347;7.183;6.2934;5.6095
25-01-00 02:00;9.9533;8.3284;7.1776;6.2882;5.6054
25-01-00 03:00;9.9409;8.322;7.1721;6.2831;5.6013
25-01-00 04:00;9.9282;8.3155;7.1666;6.2779;5.5972
25-01-00 05:00;9.9152;8.3088;7.1611;6.2727;5.5931
25-01-00 06:00;9.902;8.302;7.1555;6.2674;5.5889
25-01-00 07:00;9.8886;8.2951;7.1499;6.2622;5.5848
25-01-00 08:00;9.8749;8.288;7.1442;6.2569;5.5805
25-01-00 09:00;9.8611;8.2808;7.1385;6.2515;5.5763
25-01-00 10:00;9.8476;8.2734;7.1327;6.2462;5.5721
25-01-00 11:00;9.8341;8.266;7.1269;6.2409;5.5678
25-01-00 12:00;9.8207;8.2585;7.1211;6.2355;5.5636
25-01-00 13:00;9.8073;8.251;7.1153;6.2302;5.5593
25-01-00 14:00;9.7939;8.2435;7.1095;6.2249;5.5551
25-01-00 15:00;9.7804;8.2359;7.1037;6.2196;5.5509
25-01-00 16:00;9.7668;8.2283;7.098;6.2143;5.5467
25-01-00 17:00;9.7532;8.2207;7.0923;6.2092;5.5425
25-01-00 18:00;9.7395;8.2131;7.0867;6.204;5.5384
25-01-00 19:00;9.7256;8.2054;7.0811;6.199;5.5343
25-01-00 20:00;9.7115;8.1976;7.0755;6.194;5.5302
25-01-00 21:00;9.6971;8.1898;7.07;6.1891;5.5262
25-01-00 22:00;9.6826;8.182;7.0646;6.1842;5.5222
25-01-00 23:00;9.6678;8.174;7.0592;6.1794;5.5183
26-01-00 00:00;9.6528;8.166;7.0538;6.1747;5.5144
26-01-00 01:00;9.6376;8.1574;7.0485;6.17;5.5105
26-01-00 02:00;9.6226;8.1484;7.043;6.1653;5.5066
26-01-00 03:00;9.6074;8.1391;7.0375;6.1606;5.5028
26-01-00 04:00;9.5923;8.1294;7.0318;6.1559;5.4989
26-01-00 05:00;9.5771;8.1196;7.0259;6.1512;5.4949
26-01-00 06:00;9.5618;8.1095;7.0199;6.1464;5.4909
26-01-00 07:00;9.5466;8.0993;7.0137;6.1415;5.4869
26-01-00 08:00;9.5314;8.0888;7.0074;6.1366;5.4827
26-01-00 09:00;9.5162;8.0783;7.0011;6.1315;5.4785
26-01-00 10:00;9.501;8.0676;6.9946;6.1265;5.4742
26-01-00 11:00;9.4858;8.0568;6.988;6.1214;5.4699
26-01-00 12:00;9.4708;8.046;6.9814;6.1162;5.4655
26-01-00 13:00;9.4557;8.0351;6.9747;6.111;5.461
26-01-00 14:00;9.4407;8.0242;6.9679;6.1058;5.4565
26-01-00 15:00;9.4257;8.0132;6.9611;6.1006;5.452
26-01-00 16:00;9.4106;8.0023;6.9543;6.0953;5.4473
26-01-00 17:00;9.3956;7.9914;6.9474;6.0901;5.4427
26-01-00 18:00;9.3805;7.9804;6.9405;6.0848;5.4379
26-01-00 19:00;9.3654;7.9694;6.9336;6.0795;5.4332
26-01-00 20:00;9.3503;7.9583;6.9267;6.0742;5.4283
26-01-00 21:00;9.335;7.9473;6.9197;6.0689;5.4235
26-01-00 22:00;9.3197;7.9362;6.9127;6.0636;5.4186
26-01-00 23:00;9.3045;7.925;6.9057;6.0582;5.4136
27-01-00 00:00;9.2892;7.9139;6.8986;6.0528;5.4086
27-01-00 01:00;9.274;7.9028;6.8916;6.0474;5.4035
27-01-00 02:00;9.2588;7.8917;6.8845;6.042;5.3984
27-01-00 03:00;9.2437;7.8806;6.8773;6.0365;5.3932
27-01-00 04:00;9.2287;7.8695;6.8702;6.0311;5.388
27-01-00 05:00;9.2137;7.8584;6.863;6.0256;5.3827
27-01-00 06:00;9.1988;7.8473;6.8558;6.0202;5.3774
27-01-00 07:00;9.1839;7.8361;6.8486;6.0147;5.372
27-01-00 08:00;9.1691;7.825;6.8414;6.0092;5.3666
27-01-00 09:00;9.1544;7.8139;6.8342;6.0037;5.3611
27-01-00 10:00;9.1397;7.8029;6.8269;5.9982;5.3556
27-01-00 11:00;9.1249;7.7918;6.8197;5.9927;5.35
27-01-00 12:00;9.1102;7.7808;6.8124;5.9871;5.3444
27-01-00 13:00;9.0956;7.7699;6.8051;5.9816;5.3388
27-01-00 14:00;9.081;7.759;6.7976;5.976;5.333
27-01-00 15:00;9.0666;7.7483;6.7902;5.9703;5.3273
27-01-00 16:00;9.0522;7.7376;6.7827;5.9646;5.3215
27-01-00 17:00;9.0377;7.7271;6.7752;5.9589;5.3157
27-01-00 18:00;9.0234;7.7167;6.7678;5.9533;5.3098
27-01-00 19:00;9.009;7.7064;6.7604;5.9476;5.3039
27-01-00 20:00;8.9947;7.6961;6.753;5.942;5.2978
27-01-00 21:00;8.9804;7.6859;6.7456;5.9363;5.2917
27-01-00 22:00;8.9662;7.6756;6.7382;5.9307;5.2856
27-01-00 23:00;8.952;7.6655;6.7309;5.925;5.2794
28-01-00 00:00;8.9379;7.6554;6.7236;5.9193;5.2731
28-01-00 01:00;8.9239;7.6453;6.7162;5.9135;5.2668
28-01-00 02:00;8.9099;7.6352;6.7089;5.9078;5.2604
28-01-00 03:00;8.8961;7.6252;6.7015;5.902;5.2539
28-01-00 04:00;8.8823;7.6152;6.6941;5.8961;5.2473
28-01-00 05:00;8.8686;7.6052;6.6868;5.8903;5.2407
28-01-00 06:00;8.855;7.5951;6.6796;5.8844;5.234
28-01-00 07:00;8.8416;7.585;6.6723;5.8786;5.2272
28-01-00 08:00;8.8283;7.5749;6.665;5.8728;5.2204
28-01-00 09:00;8.8151;7.5648;6.6577;5.8669;5.2134
28-01-00 10:00;8.802;7.5548;6.6504;5.8611;5.2064
28-01-00 11:00;8.789;7.5448;6.6431;5.8552;5.1993
28-01-00 12:00;8.7761;7.5348;6.6357;5.8492;5.1921
28-01-00 13:00;8.7634;7.5249;6.6283;5.8433;5.1849
28-01-00 14:00;8.7507;7.515;6.6209;5.8372;5.1775
28-01-00 15:00;8.7382;7.5052;6.6134;5.8311;5.17
28-01-00 16:00;8.7257;7.4954;6.6059;5.825;5.1624
28-01-00 17:00;8.7133;7.4856;6.5983;5.8188;5.1548
28-01-00 18:00;8.7011;7.4759;6.5907;5.8126;5.147
28-01-00 19:00;8.6889;7.4662;6.583;5.8063;5.1391
28-01-00 20:00;8.6768;7.4566;6.5753;5.7999;5.131
28-01-00 21:00;8.6648;7.447;6.5676;5.7935;5.1229
28-01-00 22:00;8.6528;7.4374;6.5596;5.7871;5.1147
28-01-00 23:00;8.641;7.4278;6.5516;5.7807;5.1063
29-01-00 00:00;8.6293;7.418;6.5433;5.7742;5.0979
29-01-00 01:00;8.6177;7.4082;6.5349;5.7676;5.0894
29-01-00 02:00;8.6063;7.3983;6.5264;5.761;5.0809
29-01-00 03:00;8.595;7.3883;6.5176;5.7544;5.0723
29-01-00 04:00;8.5837;7.3783;6.5087;5.7478;5.0636
29-01-00 05:00;8.5726;7.3682;6.4995;5.7411;5.055
29-01-00 06:00;8.5614;7.358;6.4901;5.7344;5.0465
29-01-00 07:00;8.5503;7.3478;6.4805;5.7276;5.038
29-01-00 08:00;8.5393;7.3375;6.4706;5.7207;5.0295
29-01-00 09:00;8.5283;7.3271;6.4605;5.7139;5.0211
29-01-00 10:00;8.5172;7.3166;6.4503;5.707;5.0128
29-01-00 11:00;8.5062;7.306;6.4401;5.6998;5.0044
29-01-00 12:00;8.4952;7.2954;6.4298;5.6923;4.996
29-01-00 13:00;8.4842;7.2848;6.4195;5.6847;4.9876
29-01-00 14:00;8.4733;7.2741;6.409;5.6765;4.9791
29-01-00 15:00;8.4623;7.2634;6.3986;5.6679;4.9704
29-01-00 16:00;8.4513;7.2526;6.3882;5.6591;4.9617
29-01-00 17:00;8.4404;7.2419;6.3779;5.6502;4.9528
29-01-00 18:00;8.4294;7.2312;6.3677;5.6411;4.9439
29-01-00 19:00;8.4185;7.2204;6.3576;5.6319;4.9348
29-01-00 20:00;8.4075;7.2097;6.3475;5.6226;4.9258
29-01-00 21:00;8.3966;7.1991;6.3374;5.6132;4.9168
29-01-00 22:00;8.3857;7.1884;6.3273;5.6038;4.9079
29-01-00 23:00;8.3748;7.1777;6.3172;5.5944;4.899
30-01-00 00:00;8.3639;7.1671;6.3071;5.5849;4.8901
30-01-00 01:00;8.353;7.1564;6.2969;5.5753;4.8812
30-01-00 02:00;8.3422;7.1458;6.2868;5.5658;4.8724
30-01-00 03:00;8.3314;7.1352;6.2767;5.5562;4.8635
30-01-00 04:00;8.3207;7.1247;6.2666;5.5466;4.8546
30-01-00 05:00;8.3101;7.1142;6.2565;5.5371;4.8457
30-01-00 06:00;8.2997;7.1037;6.2464;5.5275;4.8368
30-01-00 07:00;8.2895;7.0933;6.2363;5.5179;4.8279
30-01-00 08:00;8.2794;7.083;6.2263;5.5083;4.8191
30-01-00 09:00;8.2695;7.0727;6.2163;5.4988;4.8102
30-01-00 10:00;8.2598;7.0626;6.2063;5.4892;4.8013
30-01-00 11:00;8.2503;7.0526;6.1964;5.4796;4.7925
30-01-00 12:00;8.2409;7.0426;6.1866;5.4701;4.7838
30-01-00 13:00;8.2318;7.0328;6.1768;5.4606;4.7751
30-01-00 14:00;8.2228;7.0232;6.1671;5.4512;4.7664
30-01-00 15:00;8.2139;7.0137;6.1575;5.4418;4.7578
30-01-00 16:00;8.2053;7.0044;6.148;5.4325;4.7492
30-01-00 17:00;8.1968;6.9952;6.1386;5.4232;4.7407
30-01-00 18:00;8.1884;6.9861;6.1293;5.414;4.7322
30-01-00 19:00;8.1802;6.9772;6.1201;5.4049;4.7237
30-01-00 20:00;8.1722;6.9684;6.111;5.3958;4.7152
30-01-00 21:00;8.1644;6.9597;6.102;5.3868;4.7068
30-01-00 22:00;8.1566;6.9511;6.093;5.3778;4.6987
30-01-00 23:00;8.1491;6.9427;6.0842;5.369;4.6906
31-01-00 00:00;8.1417;6.9343;6.0755;5.3602;4.6827
;10.729;;;;
;This number is consistent with the 1250 water levels obtained from the rating curve corresponding to the 12500 discharge. Therefore we will only use that one.;;;;
